ID,X,Y,angle,name,依赖关系
1,137.01,372.22,999,1,4
2,29.99,369.07,999,2,4、3
3,29.99,210.64,999,3,2
4,86.65,337.59,999,4,1、2、5、6
5,89.80,133.00,999,5,4、6
6,129.67,200.15,999,6,5、4、7
7,178.98,193.86,999,7,6、9
8,171.63,298.77,999,8,9、15
9,178.98,272.54,999,9,7、8、10
10,218.85,268.35,999,10,9、13
11,183.17,114.12,999,11,12
12,249.27,113.07,999,12,13、11、26
13,236.68,236.87,999,13,10、12
14,237.73,357.53,999,14,15、16
15,198.91,371.17,999,15,8、14
16,316.42,365.92,999,16,14、18、21、17
17,377.27,372.22,999,17,16、22
18,303.83,326.05,999,18,16、19
19,301.73,169.72,999,19,18、20
20,314.32,165.53,999,20,19、21
21,315.37,321.85,999,21,20、16
22,369.93,340.74,999,22,17
23,365.73,89.99,999,23,25
24,368.88,124.61,999,24,25
25,365.73,83.69,999,25,26、23、24
26,331.11,70.05,999,26,12、27、25
27,305.93,32.28,999,27,26、28
28,276.55,30.18,999,28,27、29
29,132.81,27.04,999,29,28、30、34
30,29.99,24.94,999,30,29、31
31,24.75,30.18,999,31,30、32
32,28.95,77.40,999,32,31、33
33,23.70,91.04,999,33,32、34
34,114.98,89.99,999,34,33、29
